"BYPASS_DATE","COMPANY","DESCRIPTION","CREATE_DATE"
"2015-06-27","002","20",""
"2015-11-26","001","THANKSGIVING",""
"2015-11-26","002","",""
"2015-12-25","001","XMAS",""
"2015-12-25","002","",""
"2016-01-01","001","NY",""
"2016-01-01","002","",""
"2016-11-07","001","MARATHON",""
"2016-11-08","001","ELECTION",""
"2016-11-08","002","",""
"2016-11-09","001","",""
"2016-11-09","002","",""
"2016-11-10","001","",""
"2016-11-10","002","",""
"2016-11-11","001","",""
"2016-11-11","002","",""
"2015-09-06","001","LABOR DAY",""
"2015-09-06","002","",""
"2015-09-28","001","POPE PAD",""
"2015-09-28","002","POPE PAD",""
"2013-11-28","001","THANKSGIVING",""
"2013-11-28","002","",""
"2013-11-29","001","",""
"2013-12-23","001","XMAS",""
"2013-12-24","001","",""
"2013-12-25","001","",""
"2013-12-25","002","XMAS",""
"2013-12-25","003","",""
"2013-12-25","004","",""
"2013-12-25","005","",""
"2013-12-25","006","",""
"2013-12-25","007","",""
"2013-12-25","008","",""
"2013-12-25","009","",""
"2013-12-26","001","",""
"2013-12-27","001","",""
"2013-12-28","001","",""
"2013-12-29","001","",""
"2013-12-30","001","",""
"2013-12-31","001","",""
"2014-01-01","001","NY",""
"2014-01-01","002","NY",""
"2014-01-01","003","",""
"2014-01-01","004","",""
"2014-01-01","005","",""
"2014-01-01","006","",""
"2014-01-01","007","",""
"2014-01-01","008","",""
"2014-01-01","009","",""
"2014-01-20","001","MLK",""
"2014-01-27","001","SNOW",""
"2014-02-17","001","PRES DAY",""
"2014-04-20","001","EASTER",""
"2014-04-20","002","",""
"2014-05-26","001","MEM DAY",""
"2014-05-26","002","",""
"2014-07-04","001","JULY 4",""
"2014-07-04","002","",""
"2014-07-04","003","",""
"2014-07-04","004","",""
"2014-07-04","005","",""
"2014-07-04","006","",""
"2014-07-04","007","",""
"2014-07-04","008","",""
"2014-07-04","009","",""
"2014-07-18","001","MALAYSIAN PLANE CRAS",""
"2014-07-18","002","",""
"2014-07-21","001","",""
"2014-07-21","002","",""
"2014-08-30","001","LABOR DAY",""
"2014-08-31","001","LABOR DAY",""
"2014-09-01","001","LABOR DAY",""
"2014-11-03","001","MARATHON",""
"2014-11-27","001","THANKSGIVING",""
"2014-11-28","001","",""
"2014-11-29","001","",""
"2014-11-30","001","",""
"2014-12-25","001","XMAS",""
"2014-12-25","002","XMAS",""
"2014-12-26","001","",""
"2014-12-27","001","",""
"2014-12-28","001","",""
"2015-01-01","001","NY",""
"2015-01-01","002","NY",""
"2015-01-02","001","NY",""
"2015-01-03","001","NY",""
"2015-01-04","001","NY",""
"2015-01-19","001","MLK",""
"2015-04-05","001","EASTER",""
"2015-04-05","002","",""
"2014-12-25","003","",""
"2014-12-25","004","",""
"2014-12-25","005","",""
"2014-12-25","006","",""
"2014-12-25","007","",""
"2014-12-25","008","",""
"2014-12-25","009","",""
"2015-01-01","003","",""
"2015-01-01","004","",""
"2015-01-01","005","",""
"2015-01-01","006","",""
"2015-01-01","007","",""
"2015-01-01","008","",""
"2015-01-01","009","",""
"2015-06-27","001","20",""
"2015-09-25","001","POPE PAD",""
"2015-09-25","002","POPE PAD",""
"2015-09-26","001","POPE PAD",""
"2015-09-26","002","POPE PAD",""
"2016-10-20","001","",""
"2016-10-20","002","",""
"2016-12-25","001","XMAS",""
"2016-12-25","002","XMAS",""
"2017-01-20","001","INAUGURATION",""
"2017-01-20","002","",""
"2017-01-21","001","",""
"2017-01-21","002","",""
"2017-01-22","001","",""
"2017-01-22","002","",""
"2015-10-14","001","DEMOCRATIC DEBATE",""
"2015-10-29","001","WORLD SERIES",""
"2015-10-31","001","",""
"2015-11-02","001"," AND MARATHON",""
"2015-12-25","003","",""
"2015-12-25","004","",""
"2015-12-25","005","",""
"2015-12-25","006","",""
"2015-12-25","007","",""
"2015-12-25","008","",""
"2015-12-25","009","",""
"2016-01-01","003","",""
"2016-01-01","004","",""
"2016-01-01","005","",""
"2016-01-01","006","",""
"2016-01-01","007","",""
"2016-01-01","008","",""
"2016-01-01","009","",""
"2016-07-22","001","RNC",""
"2016-07-22","002","RNC",""
"2016-07-29","001","DNC",""
"2016-07-29","002","DNC",""
"2016-09-27","001","PRES DEBATE",""
"2016-09-27","002","",""
"2016-11-24","001","THANKSGIVING",""
"2016-11-24","002","THANKSGIVING",""
"2015-07-03","001","JULY 4",""
"2015-07-04","001","",""
"2015-07-05","001","",""
"2015-07-06","001","",""
"2015-09-07","001","LABOR DAY",""
"2015-09-07","002","",""
"2015-07-04","002","",""
"2015-07-04","003","",""
"2015-07-04","004","",""
"2015-07-04","005","",""
"2015-07-04","006","",""
"2015-07-04","007","",""
"2015-07-04","008","",""
"2015-07-04","009","",""
"2015-11-14","001","PARIS ATTACKS",""
"2015-11-14","002","",""
"2015-12-26","001","XMAS",""
"2016-01-02","001","NY",""
"2016-10-10","001","",""
"2016-10-10","002","",""
"2016-07-04","001","",""
"2016-07-04","002","",""
"2016-07-04","003","",""
"2016-07-04","004","",""
"2016-07-04","005","",""
"2016-07-04","006","",""
"2016-07-04","007","",""
"2016-07-04","008","",""
"2016-07-04","009","",""
